Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days
1997-06-10,7.1875,7.4375,6.875,7.0625,7.0625,233800,VSAT,1.0,1.4867256637168142,0.8761061946902655
1997-06-11,7.125,7.125,6.4375,6.625,6.625,274800,VSAT,1.0660377358490567,1.6886792452830188,0.9528301886792453
1997-06-12,6.875,6.875,6.5625,6.875,6.875,308200,VSAT,1.0272727272727273,1.4454545454545455,0.9
1997-06-13,6.875,6.875,6.625,6.875,6.875,172000,VSAT,1.0363636363636364,1.5272727272727273,0.8727272727272727
1997-06-16,6.875,7.4375,6.8125,7.4375,7.4375,419600,VSAT,0.957983193277311,1.3823529411764706,0.8151260504201681
1997-06-17,7.34375,7.5,7.25,7.5,7.5,404200,VSAT,0.925,1.375,0.7916666666666666
1997-06-18,7.3125,7.5,7.125,7.25,7.25,80200,VSAT,0.9568965517241379,1.3793103448275863,0.8060344827586207
1997-06-19,7.375,7.5,7.125,7.25,7.25,113400,VSAT,1.0344827586206897,1.4482758620689655,0.8060344827586207
1997-06-20,7.25,7.5,7.25,7.25,7.25,211600,VSAT,1.0,1.4482758620689655,0.8103448275862069
1997-06-23,7.375,8.0625,7.25,7.8125,7.8125,640400,VSAT,0.96,1.336,0.808
1997-06-24,7.875,7.875,7.0625,7.15625,7.15625,707000,VSAT,1.056768558951965,1.48471615720524,0.9519650655021834
1997-06-25,7.375,7.5,7.0,7.40625,7.40625,144000,VSAT,1.130801687763713,1.40084388185654,0.9324894514767933
1997-06-26,7.5,7.5,7.0,7.0625,7.0625,40600,VSAT,1.2566371681415929,1.4690265486725664,0.9823008849557522
1997-06-27,7.375,7.4375,7.125,7.3125,7.3125,40200,VSAT,1.2393162393162394,1.393162393162393,0.9487179487179487
1997-06-30,7.125,7.4375,7.125,7.25,7.25,98400,VSAT,1.2758620689655173,1.4267241379310345,0.9568965517241379
1997-07-01,7.25,7.375,7.0,7.25,7.25,66200,VSAT,1.2155172413793103,1.521551724137931,0.9482758620689655
1997-07-02,7.0625,7.3125,7.0,7.03125,7.03125,84400,VSAT,1.28,1.6977777777777778,0.9466666666666667
