Date,Open,High,Low,Close,Adj Close,Volume,ticker
1993-10-25,5.40625,5.515625,5.40625,5.46875,1.6458687782287598,848800,ELS
1993-10-26,5.46875,5.484375,5.375,5.390625,1.6223571300506592,49600,ELS
1993-10-27,5.390625,5.390625,5.3125,5.34375,1.6082489490509033,275200,ELS
1993-10-28,5.3125,5.5625,5.3125,5.5625,1.6740840673446655,472800,ELS
1993-10-29,5.5625,5.5625,5.5,5.5625,1.6740840673446655,143200,ELS
1993-11-01,5.53125,5.59375,5.53125,5.59375,1.6834888458251953,57600,ELS
1993-11-02,5.625,5.640625,5.59375,5.640625,1.6975960731506348,97600,ELS
1993-11-03,5.609375,5.609375,5.5,5.515625,1.6599762439727783,20800,ELS
1993-11-04,5.5,5.5,5.46875,5.46875,1.6458687782287598,20000,ELS
1993-11-05,5.4375,5.4375,5.3125,5.328125,1.60354745388031,143200,ELS
1993-11-08,5.421875,5.421875,5.359375,5.421875,1.631761908531189,48000,ELS
1993-11-09,5.453125,5.609375,5.453125,5.578125,1.6787861585617065,300800,ELS
1993-11-10,5.546875,5.5625,5.5,5.5,1.6552737951278687,127200,ELS
1993-11-11,5.5,5.53125,5.5,5.53125,1.6646791696548462,32000,ELS
1993-11-12,5.5625,5.5625,5.53125,5.53125,1.6646791696548462,22400,ELS
1993-11-15,5.578125,5.578125,5.5,5.53125,1.6646791696548462,80800,ELS
1993-11-16,5.5,5.515625,5.5,5.515625,1.6599762439727783,54400,ELS
1993-11-17,5.5,5.5,5.3125,5.328125,1.60354745388031,178400,ELS
1993-11-18,5.296875,5.296875,5.0625,5.109375,1.5377118587493896,361600,ELS
1993-11-19,5.125,5.125,5.09375,5.109375,1.5377118587493896,168000,ELS
1993-11-22,5.109375,5.109375,5.0,5.0,1.5047950744628906,400000,ELS
1993-11-23,5.015625,5.015625,4.9375,4.96875,1.495389461517334,230400,ELS
1993-11-24,4.984375,4.984375,4.90625,4.90625,1.4765796661376953,66400,ELS
1993-11-26,4.9375,4.96875,4.921875,4.921875,1.481282114982605,16800,ELS
1993-11-29,4.890625,4.921875,4.890625,4.921875,1.481282114982605,130400,ELS
1993-11-30,4.875,4.984375,4.875,4.984375,1.5000934600830078,356000,ELS
1993-12-01,4.9375,4.953125,4.921875,4.921875,1.481282114982605,522400,ELS
1993-12-02,4.921875,5.15625,4.921875,5.15625,1.5518192052841187,136800,ELS
1993-12-03,5.125,5.125,5.0625,5.125,1.5424150228500366,39200,ELS
1993-12-06,5.125,5.375,5.125,5.375,1.6176544427871704,148000,ELS
1993-12-07,5.375,5.40625,5.34375,5.40625,1.6270593404769897,295200,ELS
1993-12-08,5.375,5.390625,5.34375,5.359375,1.612951636314392,373600,ELS
1993-12-09,5.359375,5.359375,5.3125,5.328125,1.60354745388031,103200,ELS
